Number,Description - Long,Lifecycle Phase,Rev,Overall Compliance,Subclass
4006201,"Plunger Tip, 12mL Syringe, Parylene Coated, MONOJECT PREFILL, Anti-Reflux",Active,1,,Part
4006202,"Plunger Tip, 12mL, Smooth, Black, Latex Free",Active,2,,Part
4101801,TIP 12 CC RAYCO WG2714 RUBBER TIP,Active,0,Compliant,Part
4220104,"Printing Foil for Hot Stamp Marking, 2.375 Inch, Black",Active,2,,Part
4220125,"Print Tape, Black, 3 Inch Wide, B215SL",Active,2,,Part
4230505,"Ink, Black, Trans Tech PM 1, RNT Vendor PN: 1351366",Active,2,Non-Compliant,Part
4500003,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 20 Gage x 1-1/2 Inch, A3 Bevel, Pink",Active,2,,Part
4500005,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 21 Gage x 1 Inch, A3 Bevel, Lavender",Active,2,,Part
4500006,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 21 Gage x 1-1/2 Inch, A3 Bevel, Lavender",Active,1,,Part
4500009,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 22 Gage x 1-1/2 Inch, A3 Bevel, Blue",Active,1,,Part
4500148,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 18 Gage x 1 Inch, I Bevel, Green",Active,1,,Part
4500150,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 18 Gage x 1 Inch, Rounded Blunt, Charcoal Gray",Active,1,,Part
4500548,"Finished Component, MONOJECT 500E Hooded Needle Assembly, 18 Gage x 1 Inch, I Bevel, Green",Active,2,,Part
4500902,"Finished Component, MONOJECT Hooded Needle Assembly, Access Pin, Blunt, Sub-Assembly",Discontinued,2,,Part
4500906,SMARTIP Cannula,Active,0,,Part
4500906_28CM,"Finished Component, SMARTIP Cannula",Active,1,,Part
4500911,"Hooded Needle, BLUNTIP IV Access, Saturn Yellow",Active,0,,Part
4500911_28CM,"MONOJECT Bluntip I.V. ACCESS Saturn Yellow, Bulk",Active,1,,Part
4502500,SYR 12ml WFF Magellan Sub,Active,4,,Part
5000109,"Gusseted Polybag, Unprinted, 24 Inch x 38 Inch x 16 Inch (Width x Length x Gusset)",Active,1,,Part
5000231,"Gusseted Polybag, Unprinted, 13.5 Inch x 14.25 Inch x 5.5 Inch",Active,1,,Part
5000243,"Polybag, Unprinted, 6 Inch x 4 Inch",Active,1,,Part
5000244,"Polybag, Unprinted, 6 Inch x 5 Inch",Active,1,,Part
5030483,"Shrink Film, Polyethylene, High Strength, Natural Color, 30.0 inch",Active,1,,Part
51500035,"Rubber Tip 12 mL, Latex Free, With Silicone",Discontinued,3,,Part
5151171,"Folding Carton, Unprinted, 8.25 Inch x 5.5 Inch x 8.25 Inch",Active,1,,Part
5153121,UNIT BOX 12CC LIFESHLD TYCO ML,Discontinued,0,,Part
5170114,"Header Bag, TYVEK, Unprinted, 10 Inch x 20 Inch, Clear",Active,1,,Part
5170115,"Plastic Breather Bag, Unprinted, 28 Inch x 24 Inch",Active,1,,Part
5170406,"Paper, Perfecseal 35733K, 587 mm Wide, 3 mil",Active,1,,Part
5170588,"Poly Bag, Gusseted, 22.5 Inch x 16.25 Inch x 42.00 Inch",Active,1,,Part
5170969,"PerfecSeal Film, 30653-EE, 7 mil, 607 mm",Active,1,,Part
51731218,"Plunger 12 mL Clear, Nonsterile, OKI 410L-4",Discontinued,3,,Part
51761207,"Rubber Tip, 12cc, Latex Free, Non-Siliconized",Discontinued,2,,Part
51771203,"12mL Syringe Barrel, Total 3622 Resin",Discontinued,2,,Part
51771207,"In-Process 12 mL Syringe Barrel Without Stop, Unprinted",Discontinued,2,,Part
51771405,"In-Process 412 Syringe Barrel, Unprinted",Discontinued,2,,Part
51777047MT,"Barrel, 10ml Regular Luer Slip, Printed, Nonsterile, Medizin Technik",Discontinued,3,,Part
51777369MT,"10mL Barrel, Medizin Technik",Discontinued,2,,Part
51777401,"12 mL Barrel Regular Luer Slip, Without Plunger Stop",Discontinued,0,,Part
51777419,"12 mL Barrel Plastic Luer Lock, Without Plunger Stop",Discontinued,2,,Part
5241005,"Thermal Transfer Label, Roll, Unprinted, White, 5 Inch Length x 4 Inch Width",Active,0,Compliant,Part
5241005_28CM,"Thermal Transfer Label Roll, Unprinted, White, 5 Inch Length x 4 Inch Width",Active,1,,Part
5241006,"Thermal Transfer Label Roll, Unprinted, White, 4 Inch Length x 6 Inch Width",Active,0,,Part
5241008,"Unprinted Label Stock, Thermal, 4 Inch x 8 Inch",Active,1,Compliant,Part
5241008FF2,"Label, 4 x 8 Fan Fold 2 Up",Active,1,,Part
5241008R,Label 4 x 8 No Perferation,Active,1,,Part
5500148,"Corrugated Case, Unprinted, 18 Inch x 13 Inch x 17 Inch",Active,1,,Part
5500149,"Corrugated Case, Unprinted, 16.75 Inch x 14.125 Inch x 11.125 Inch",Active,1,Compliant,Part
5500208,"Corrugated Case, Unprinted, 18 Inch x 17 Inch x 13.75 Inch",Active,1,Compliant,Part
5510301,"Corrugated Case, Unprinted, 16.312 Inch x 12.938 Inch x 11 Inch",Active,1,,Part
5510303,"Corrugated Case, Unprinted, 17.531 Inch x 12.938 Inch x 10.75 Inch",Discontinued,1,,Part
5510303_28CM,"Corrugated Case, Unprinted, 17.531 Inch x 12.938 Inch x 10.75 Inch",Active,1,,Part
5510305,"Corrugated Case, Unprinted, 18.875 Inch x 12.938 Inch x 10.75 Inch",Discontinued,2,,Part
5510320,"Corrugated Case, Unprinted, 17.438 Inch x 11.063 Inch x 11.438 Inch",Active,2,Compliant,Part
5510509,"Corrugated Case, Unprinted, 16.75 Inch x 14.125 Inch x 8.5 Inch",Active,2,Compliant,Part
5510538,"Corrugated Case, Unprinted, 17.906 Inch x 12.938 Inch x 10.75 Inch",Discontinued,2,,Part
5542726,"OEM: Corrugated Case, Unprinted, 18-3/8 Inch x 11-1/4 Inch x 11-5/16 Inch",Active,2,,Part
5542735,"Corrugated Case, Unprinted, 21-5/8 Inch x 15-1/4 Inch x 11-1/2 Inch",Active,1,,Part
81110160,Syringe HM110S-O without Caps,Discontinued,4,,Part
81112059,"Syringe, 12mL Regular Luer Tip",Discontinued,5,,Part
81112075,In Process Syringe 12cc Eccentric,Discontinued,2,,Part
81112083,"MONOJECT 12 mL Luer Lock Syringe, CE Mark",Discontinued,4,,Part
81112093,"12mL Luer Lock Syringe Assembly, Unprinted, Bulk",Discontinued,0,,Part
81112599,In Process Syringe 12mL LLK Smthip Bulk Non Sterile,Discontinued,4,,Part
81112985,"10 mL Syringe, Bulk",Discontinued,4,,Part
81200555,In Process Syringe 12cc SR Softpack,Discontinued,5,,Part
81200777,In Process Syringe 12cc LK Softpack,Discontinued,8,,Part
81218100,In Process Syringe 12cc 18 x 1 Softpack,Discontinued,7,,Part
81220112,In Process Syringe 12cc 20 x 1-1/2 Softpack,Discontinued,8,,Part
81221100,In Process Syringe 12cc 21 x 1 Softpack,Discontinued,8,,Part
81221112,In Process Syringe 12cc 21 x 1 -1/2 Softpack,Discontinued,8,,Part
81412012,In-Process MONOJECT Curved Tip Syringe,Discontinued,5,,Part
81412199,"In-Process 12 mL Straight Tip Syringe, Unprinted, Bulk",Discontinued,3,,Part
81502267,In-Process SYR 12ml 18 X 1 I Vet Pack,Discontinued,5,,Part
81512597,In-Process Syringe 12ml E 18 X 1 I,Discontinued,5,,Part
81512662,In-Process Syringe 12cc 20 x 1 1/2 OP,Discontinued,5,,Part
81512738,In-Process Syringe 12ml E 21 X 1 A,Discontinued,5,,Part
81512746,In-Process Syringe 12ml - E 21 X 1 1/2 A,Discontinued,5,,Part
81512811,In-Process Syringe 12ml - E 22 X 1-1/2 A,Discontinued,5,,Part
81512852,In Process Syringe 12cc SR O/P,Discontinued,7,,Part
81512860,In Process Syringe 12cc SE O/P,Discontinued,4,,Part
81512878,In Process Syringe 12cc LK O/P,Discontinued,6,,Part
81540122,In Process Syringe 12mL with SmarTip Cannula SP,Discontinued,8,,Part
81541125,In Process Syringe 12ml Blunt Tip IV Access,Discontinued,5,,Part
81541208,In Process Syringe 12cc BlunTip Vial Access Softpack,Discontinued,8,,Part
81907003,In-Process Syringe 10ml Anber Oral Med CE Mark,Discontinued,5,,Part
81907102,In Process Syringe 907S-O 10mL Oral Medication CE Mark,Discontinued,7,,Part
81907465,"Syringe 10mL Oral without Caps, Bulk",Discontinued,5,,Part
8998PG2CC,18 Gallon PG2 Collection Container,Preliminary,,,Part
99015022,Ackrad 12mL Luer Lock Syringe Without Fill Ring,Discontinued,2,,Part
99410S,IP 10ML KANGAROO PURPLE SYRINGE NON STERILE,Discontinued,6,,Part
994501820,"In-Process Syringe 12ml Oral Purple Sub, Bulk",Discontinued,6,,Part
994502476,"Syringe, 12 cc Luer Lock Syringe",Discontinued,4,,Part
994502500,IP SYR 12ml WFF Magellan Sub,Discontinued,4,,Part
994502560,In Process Non Reflux 12cc Prefill Syringe 1000,Discontinued,5,,Part
CL635160042A,Unit Box 12ml Vet-Pack Covidien,Discontinued,1,,Part
CL635160072A,Unit box 12 mL Blunt Tip IV Access Covidien,Discontinued,1,,Part
CL63R1040,"Corrugated Case, Printed, NovaPlus, 25.375 Inch x 14.25 Inch x 10.6875 Inch",Active,0,,Part
CL63R1146,"Corrugated Case, Printed, NovaPlus, 20.25 Inch x 17.625 Inch x 14.5 Inch",Active,0,,Part
CL63R1368,"(COV) Corrugated Case, Printed, 6.625 Inch X 11.125 Inch X 4.1875 Inch",Discontinued,1,,Part
CL63R1603,"Corrugated Case, Printed, NovaPlus, 2 Gallon Sharps Disposal Container",Active,0,,Part
CL63R1653,"Corrugated Case, Printed, NovaPlus, 19.375 Inch x 15.125 Inch x 21.875 Inch",Active,0,,Part
CL63R1654,"Corrugated Case, Printed, NovaPlus, 19.375 Inch x 15.125 Inch x 21.875 Inch",Active,0,,Part
CL63R1706,"Corrugated Case, Printed, NovaPlus, 24.625 Inch x 13.875 Inch x 20.500 Inch",Active,0,,Part
CL63R1767,Overshipper for NOVAPLUS Reorder No. V8506,Discontinued,1,,Part
CL63R1767A,Overshipper for V8506,Active,0,,Part
CL63R1768,Overshipper for NOVAPLUS Reorder No. V8618,Discontinued,1,,Part
CL63R1768A,Overshipper for NovaPlus V8618 - Covidien  Rebranded,Discontinued,1,,Part
CL63R1768B,Overshipper for NovaPlus V8618 - Covidien  Rebranded,Active,0,,Part
CL63R1769,"Corrugated Case, Printed, NOVAPLUS, 21.750 Inch x 18.625 Inch x 34.8125 Inch",Discontinued,2,,Part
CL63R1769A,"Overshiper for NOVA PLUS, Product Code V8870",Discontinued,1,,Part
CL63R1769B,"Overshiper for NOVA PLUS, Product Code V8870",Active,0,,Part
CL63R1770,"Corrugated Case, Printed, NOVAPLUS, 18.750 Inch X 12.375 Inch X 42.6875 Inch",Discontinued,2,,Part
CL63R1770A,"Overshiper for NOVA PLUS, Product Code V8938",Active,0,,Part
CL63R1771,"Corrugated Case, Printed, Generic, 20.25 Inch X 13.875 Inch X 14.75 Inch",Active,1,,Part
CL63R1772,"Corrugate Inner Carton, Printed, Generic, 14.375 Inch X 13.375 Inch X 4.5 Inch",Active,1,,Part
CL63R1773,"Corrugated Case, Printed, Generic, 22.0 Inch X 10.875 Inch X 4.5 Inch",Active,1,,Part
CL63R1774,"Corrugated  Insert, Unprinted 18.75 Inch X 4.5 Inch",Active,1,,Part
CL63R1775,"(COV) Corrugated Case, Printed, 6.625 Inch X 11.125 Inch X 4.188 Inch",Preliminary,,,Part
CL63R1776,"Corrugate Case, Printed, 25.25 Inch x 11.00 Inch x 21.50 Inch",Active,0,,Part
CL63R1777,"Corrugated Insert, Unprinted, 37.875 Inch x 10.625 Inch",Active,0,,Part
CL63R1778,"Corrugate Partition, 25.00 Inch x 10.50 Inch",Active,0,,Part
CL63R1779,"Corrugated Case, Unprinted, 22.00 Inch x 14.00 Inch x 20.5 Inch",Active,0,,Part
CL63R1780,"Corrugate4d Insert, Unprinted, 37.5 Inch x 20.5 Inch",Active,0,,Part
CL63R1781,"Corrugated Case, Unprinted, 24.25 x 14.25 x 26.5 Inch",Active,0,,Part
CL63R1782,"Corrugated Pad, Urinted, 11.25 Inch x 14.125 Inch",Active,0,,Part
CL63R1783,"Corrugate Partition, Unprinted,  26.25 Inch x 26.5 Inch",Active,0,,Part
CL63R1784,"Corrugated Carton, Unprinted, 21.875 Inch X 18.625 Inch",Active,0,,Part
CL63R1785,"Corrugated Insert, Unprinted, 21.4375 Inch X 14.25 Inch",Discontinued,1,,Part
CL63R1786,"Corrugated Insert, Unprinted, 15.0625 Inch X 14.0 Inch",Discontinued,1,,Part
CL63R1787,"Corrugated Insert, Unprinted, 21.75 Inch X 14.25 Inch",Discontinued,1,,Part
CL63R1793,"Corrugated Case, Printed, Generic, 14.375 Inch x 14.375 Inch x 21.75 Inch",Discontinued,1,,Part
CL63R1794,"Unit Box, Project Free",Active,0,Compliant,Part
CL63R1796,"Corrugated Case, Printed, Generic, 20.25 Inch x 14.75 nch x 17.50 Inch",Active,0,,Part
CL63R3908,"(COV) Printed Label, Waste Disposal Container, Lid Instructions, Generic, Various Reorder Nos. Symbol No. CL63R3908",Active,1,Compliant,Part
CL63R4055,"(COV) Product Label, Printed, Generic, CHEMOSAFETY Waste Disposal Container",Discontinued,1,,Part
CL63R4127,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container Container",Discontinued,1,,Part
CL63R41278506SA,Black Ink Cliche' for Product Code 8506SA,Discontinued,1,,Part
CL63R41278507SA,Black Ink Cliche' for Product Code 8507SA,Discontinued,1,,Part
CL63R41278536SA,Black Ink Cliche' for Product Code 8536SA,Discontinued,1,,Part
CL63R41278537SA,Black Ink Cliche' for Product Code 8537SA,Discontinued,1,,Part
CL63R412789651,Black Ink Cliche' for Product Code 89651,Discontinued,1,,Part
CL63R412789671,Black Ink Cliche' for Product Code 89671,Discontinued,1,,Part
CL63R41278970,Black Ink Cliche' for Product Code 8970,Discontinued,1,,Part
CL63R4127BCKGRD,Orange Ink Cliche' for the CL63R4127 Bio Hazard Label,Discontinued,1,,Part
CL63R4127V8536,Black Ink Cliche' for Product Code V8536,Discontinued,1,,Part
CL63R4128,"COV) Product Label, Printed, Biohazard, Sharps Containers, Various Reorder Nos.",Discontinued,1,,Part
CL63R4145,"(COV) Product Label, Printed, Usage Instruction, Sharps Containers, Various Reorder Nos. Symbol No. CL63R4145",Preliminary,,,Part
CL63R4147,"(COV) Product Label, Printed, Merchandise Return, Sharps Containers",Discontinued,1,,Part
CL63R4153,"(COV) Product Label, Printed, Generic, Waste Disposal Container, Various Reorder Nos.",Active,1,Compliant,Part
CL63R4225,"(COV) Product Label, Printed, 5.0 Inch x 6.75 Inch, PHARMASAFETY Containers, Various Reorder Nos.",Discontinued,1,,Part
CL63R4226,"(COV) Product Label, Printed, 2.25 Inch x 3.625 Inch, PHARMASAFETY Containers",Preliminary,,,Part
CL63R4264,"(COV) Product Label, Printed, Biohazard, Sharps Container Small Volume,Various Reorder Nos.",Discontinued,2,,Part
CL63R4265,"(COV) Printed Product Label, Waste Disposal Container, Reorder No. 8930SA",Discontinued,2,,Part
CL63R4286,"(COV) Product Label, Printed, Non-Infectious Glass Waste Disposal Container",Discontinued,2,,Part
CL63R4293,"Product Label, Printed, CHEMOMAX Regulated Medical Waste Container",Discontinued,3,,Part
CL63R4296,"(COV) Product Label, BIOMAX Regulated Medical Waste Container, Reorder Nos. 8998PG2, 8998SPG2, 8997PG2, 8997SPG2, 8932PG2, and 8936PG2",Discontinued,1,,Part
CL63R4355,"(COV) Product Label, Printed, Generic, PHARMASTAR Waste Disposal Container",Discontinued,2,,Part
CL63R4369,"(COV) Product Label, RCRA Hazardous Waste, Various Reorder Nos.",Discontinued,3,,Part
CL63R4380,"(COV)  Product Label, Printed, Biohazard, Waste Disposal Container",Discontinued,0,,Part
CL63R4384,"(COV) Product Label, Printed, Biohazard, French/English, Reorder No. 8506YM",Discontinued,2,,Part
CL63R4401,"Product Label, Printed, SHARPS-A-GATOR Sharps Collection and Disposal System,",Discontinued,2,,Part
CL63R4404,"(COV) Product Label, Printed, Canada, CHEMOSAFETY Waste Disposal Container, Various Reorder Nos.",Active,1,,Part
CL63R4405,"(COV) Printed Label, Country of Origin Identification, Glove Box with Brackets",Discontinued,2,,Part
CL63R4407,"(COV) Product Label, Printed, Generic, Biohazard, Waste Disposal Container, Reorder No. 8303BY",Discontinued,2,,Part
CL63R4408,"(COV) Product Label, Printed, Biohazard, Wasted Disposal Container, Reorder No. 8301BY",Discontinued,2,,Part
CL63R4416,"Overshipper Label, Preprinted with NOVAPLUS Logo, 4 Inch X 7 Inch",Discontinued,2,,Part
CL63R4417,"Product Label, Printed, NOVAPLUS, Biohazard, Sharps Containers,            Product Code V8938",Discontinued,2,,Part
CL63R4418,"Product Label, Printed, NOVAPLUS, Biohazard Waste Disposal Container, Product Code V8506",Discontinued,3,,Part
CL63R4419,"Product Label, Printed, NOVAPLUS, PharmaSafety Containers,                  Product Code V8870",Discontinued,2,,Part
CL63R4420,"Product Label, Printed, NOVAPLUS, RCRA Hazard Waste,                            Product Code V8618",Discontinued,3,,Part
CL63R4421A,"Product Label, Printed, FISHER HEALTHCARE, Private label, BioHazard Waste Disposal Containers Reorder No. 31325410",Discontinued,2,,Part
CL63R4422A,"Product Label,  Preprinted, PREVENT, Private label, BioHazard Waste Disposal Containers Reorder No. 065",Discontinued,2,,Part
CL63R4423A,"COV) Product Label, Universal Pharmaceutical Hazardous Waste PART NO: CL63R4423A",Discontinued,3,,Part
CL63R4424,"Overshipper Label, Preprinted with FISHER HEALTHCARE Logo, 4 Inch X 7 Inch Reorder No. 31325410",Discontinued,,,Part
CL63R4426A,"Overshipper Label, Preprinted for PREVENT Private Label, 4 Inch X 7 Inch Reorder No. 065",Discontinued,2,,Part
CL63R4427,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container SHARPS-A-GATOR, Various Reorder Nos.",Discontinued,1,,Part
CL63R442731142222,Black Ink Cliche' for Product Code 31142222,Discontinued,1,,Part
CL63R4427BCKGRD,Orange Ink Cliche' for the CL63R4427 Bio Hazard Label,Discontinued,1,,Part
CL63R4428,"(COV) Printed Product Label, Generic, Biohazard Waste Disposal Container SHARPS-A-GATOR",Discontinued,2,,Part
CL63R4431,"(COV) Printed Label, SharpSafety Waste Disposal Container, Lid Instructions, Generic, Various Reorder Nos.",Discontinued,1,,Part
CL63R4439,"Printed Label, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers, Lid Instructions, Product Codes 8851NB and 8871NB",Active,2,Compliant,Part
CL63R4440,"Product Label, Printed, Non-Hazardous, Non-Biohazard, Pharmaceutical Waste Containers,Various Reorder Nos.",Discontinued,3,,Part
CL63R4441,"Printed Product Label, Generic, IML Biohazard Waste, Disposal Container  Various Reorder NOS.",Discontinued,1,,Part
CL63R4445,"(COV) Product Label, Printed, Canada, CHEMOSAFETY Waste Disposal Container, Various Reorder Nos.",Active,0,Compliant,Part
CL63R4545,"Plastic Bag, Printed, AUTODROP Blood Needle Holder System",Discontinued,1,,Part
CL63R4546,"Plastic Bag, Printed, AUTODROP Blood Needle Holder, 10.125 Inch x 15.5 Inch, Reorder No. 1500SA",Discontinued,1,,Part
CL63R4570,"Print Mat 412SE, 12 mL Enteral Syringe with Tip Cap",Discontinued,1,,Part
CL63R7462LTAD,Black Ink Cliché for Product Code 8836NB,Discontinued,2,,Part
CL63R9225,"Corrugated Carton, Printed, 21.375 W Inch x 10.688 H Inch x 7.063 D Inch",Discontinued,1,,Part
CL63R98099A,Insert Sheet for Sharp Shuttle 8301,Discontinued,1,,Part
CL63R98173,"(COV) Printed Insert, Instruction Sheet, Drywall Anchors, Reorder No. 8556H",Active,2,,Part
CL63R98211,Covidien Instruction Sheet for 30 Gallon,Active,0,,Part
CL63R98226,"(COV) Printed Insert, Assembly and Usage Instructions, Reorder No. 8964",Active,1,,Part
CL63R98234,"(COV) Printed Insert, Instruction Sheet, PHARMASAFETY Containers",Active,1,,Part
CL63R9828,"(COV) Printed Insert, Instruction Sheet, AUTODROP Holder, Various Reorder Nos.",Discontinued,2,,Part
CL63R98331,"(COV) Printed Insert, 1 Quart Transportable Container, Reorder No. 8303SA",Discontinued,1,,Part
CL63R98331A,"(COV) Printed Insert, 1 Quart Transportable Container, Reorder No. 8303SA",Discontinued,1,,Part
CL63R98334,"(Cove) Printed Insert, SHARPSTAR IN-ROOM Containers",Discontinued,1,,Part
CL63R98334A,"(Cove) Printed Insert, SHARPSTAR IN-ROOM Containers",Active,0,,Part
CL63R98337,"(COV) Printed Insert, Phlebotomy 1 Quart Sharps Container",Discontinued,1,,Part
CL63R98337A,"(COV) Printed Insert, Phlebotomy 1 Quart Sharps Container",Active,0,,Part
CL63R98338,"(COV) Printed Insert, AUTODROP Blood Needle Holder System",Discontinued,2,,Part
CL63R98340,"(COV) Printed Insert, Sharps Disposal Units with Flap Doors and Unwinders, Various Reorder Nos.",Discontinued,2,,Part
CL63R98346,"(COV) Printed Insert, IN-ROOM Sharps Disposal System",Active,1,,Part
CL63R98347,"(COV) Printed Insert, Foot Pedal Cart, Reorder No. 8940FP",Discontinued,2,,Part
CL63R98355,"(COV) Printed Insert, SHARPSAFETY Non-Infectious Glass Waste",Active,0,,Part
CL63R98362,"Covidien Printed Insert, SHARPS-A-GATOR SHARPSSAFETY Sharps Collection and Disposal System",Discontinued,2,,Part
CL63R98395,"(COV) Printed Insert, SHARPS-A-GATOR Sharps Collection and Disposal System",Discontinued,2,,Part
CL63R98396,"(Cov) Printed Insert, Generic,      SHARPS-A-GATOR Sharps Container",Discontinued,1,,Part
CL63R98396A,"(Cov) Printed Insert, Generic,      SHARPS-A-GATOR Sharps Container",Active,0,,Part
CL63R98397,"(Cov) Printed Insert, Generic, DEVON Sharps Container",Discontinued,1,,Part
CL63R98397A,"(Cov) Printed Insert, Generic, DEVON Sharps Container",Discontinued,1,,Part
CL63R98407,"(COV) Printed Insert, Instruction Sheet, 2-1/2 and 5 Qurat Containers",Discontinued,1,,Part
CL63R98407A,"(COV) Printed Insert, Instruction Sheet, 2-1/2 and 5 Qurat Containers",Active,0,,Part
CL63R98408,"(COV) Printed Insert, Instruction Sheet, 3.5 Gallon Sharps Container",Discontinued,1,,Part
CL63R98411,"(COV) Printed Insert, Instruction Sheet, Absorbent Pads, Sharps Containers, Various Reorder Nos.",Active,,,Part
CL63R98414,"(COV) Printed Insert, Instruction Sheet, GATORGUARD Sharps Containers, Various Reorder Nos.",Discontinued,2,,Part
CL63R98414A,"(COV) Printed Insert, Instruction Sheet, GATORGUARD Sharps Containers, Various Reorder Nos.",Discontinued,1,,Part
CL63R98415,"(COV) Printed Insert, SHARPS-A-GATOR Sharps Container, Reorder Nos. 31143731 and 31143699",Discontinued,1,,Part
CL63R98431,"(COV) Printed Insert, RCRA Waste Disposal Containers, Various Reorder Nos.",Discontinued,1,,Part
CL63R98433,"(COV) Printed Insert, Foot Pedal Cart, Reorder No. 8941FP",Discontinued,2,,Part
CL63R98455,"Absorbant Pads, Large, 9-7/8 Inch x 6 Inch",Discontinued,1,,Part
CL63R98458,"(COV) Printed Insert, RCRA 5 Quart Waste Disposal Containers, Various Reorder Nos.",Discontinued,1,,Part
CL63R98461A,"Printed Insert, SHARPS-A-GATOR and CHEM-O-GATOR 19 Gallon Container",Active,1,,Part
CL63R98470,"Printed Insert, NOVAPLUS, SHARPSTAR IN-ROOM Containers",Discontinued,2,,Part
CL63R98471,"Printed Insert, NOVAPLUS, RCRA Waste Disposal Containers",Discontinued,2,,Part
CL63R98472,"Printed Insert, NOVAPLUS, PharmaSafety Containers",Discontinued,2,,Part
CL63R98473,"Printed Insert, NOVAPLUS, Large Volume Sharps Disposal Containers with Sliding Tops",Discontinued,2,,Part
CL63R98474A,"Printed Insert, FISHER HEALTHCARE, Phlebotomy Sharps Containers Reorder No. 31325410",Active,1,,Part
CL63R98475A,"Printed Insert, PREVENT, Private Label Phlebotomy Sharps Containers Reorder No. 065",Discontinued,1,,Part
CL63R98477,"(COV) Printed Insert, Universal Pharmaceutical  Waste Disposal Containers",Discontinued,2,,Part
CL63R98478,"(COV) Printed Insert, Universal Pharmaceutical  Waste Disposal Containers",Discontinued,2,,Part
CL63R98479,"(COV) Printed Insert, Universal Pharmaceutical  Waste Disposal Containers",Discontinued,2,,Part
CL63R98480,"(COV) Printed Insert, Universal Pharmaceutical  Waste Disposal Containers",Discontinued,2,,Part
